Kennziffer;Raumeinheit;Aggregat;Stimmenanteile CDU/CSU;Stimmenanteile SPD;Stimmenanteile Grüne;Stimmenanteile FDP;Stimmenanteile Die Linke;Stimmenanteile AfD
;;;2025;2025;2025;2025;2025;2025
"092";"Niederbayern";"Regierungsbezirke";"38,03";"8,66";"6,50";"3,28";"3,82";"25,83"
